,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Fabp1,3.117532,,,0.0,0.0,,3.117532
Fabp2,0.90407157,,,3.795360554466054e-162,1.599934241735165e-158,,0.90407157
Hmgcs2,1.1900325,,,5.454044733174801e-133,1.5327683715132246e-129,,1.1900325
Nme1,0.5519661,,,5.190308912508389e-121,1.0939873610339558e-117,,0.5519661
Mif,0.51108044,,,9.939024993588217e-120,1.675918394418845e-116,,0.51108044
Acot1,1.0537755,,,1.3421244906696413e-113,1.8859085968059574e-110,,1.0537755
Hsp90aa1,0.65836436,,,4.1948054731430305e-85,3.536640494406889e-82,,0.65836436
Ranbp1,0.55755913,,,3.2668239958761747e-82,1.967328079230859e-79,,0.55755913
Eif5a,0.3908721,,,5.1375422983741254e-77,2.707163694849516e-74,,0.3908721
Scd2,1.3589072,,,4.663344806849481e-72,2.1842588925859988e-69,,1.3589072
Ran,0.39692798,,,2.660306767485079e-71,1.1804761240350895e-68,,0.39692798
Cycs,0.4715419,,,1.0971933130335065e-69,4.625218411092747e-67,,0.4715419
Chchd2,0.22176541,,,1.0450036285790659e-66,4.004738905704593e-64,,0.22176541
Set,0.41116154,,,1.749749110061607e-64,6.413971629099742e-62,,0.41116154
Nhp2,0.4801253,,,2.4846304792217436e-64,8.72829982096605e-62,,0.4801253
Tmem238,0.59802866,,,2.512421211808351e-63,8.472889294702483e-61,,0.59802866
Atp5g1,0.29026425,,,6.059634866358547e-63,1.9649531368564966e-60,,0.29026425
mt-Nd1,0.22587568,,,1.9451149189686977e-62,6.073801437712997e-60,,0.22587568
Hspe1,0.2539822,,,2.2983569944183254e-60,6.920517078550322e-58,,0.2539822
Ppia,0.23473296,,,1.4649374707059805e-59,4.258926832938663e-57,,0.23473296
Acaa2,0.56787884,,,2.0689817743303707e-59,5.814528446459785e-57,,0.56787884
Dhrs4,0.50342125,,,2.249329673903446e-58,6.117451122799984e-56,,0.50342125
Erh,0.3321356,,,3.8496599131833405e-57,1.0142650852515232e-54,,0.3321356
Hint1,0.22903311,,,2.641994198240977e-54,6.5513685545204934e-52,,0.22903311
Acadl,0.8603373,,,5.156520225016188e-54,1.2421320576317568e-51,,0.8603373
