,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Gm15284,2.026033,,,0.0,0.0,,2.026033
Fabp1,2.6635482,,,0.0,0.0,,2.6635482
Lyz1,1.9976721,,,2.9348147256780808e-288,1.719116639144697e-284,,1.9976721
Gm14851,2.1322942,,,1.6536509014957014e-276,7.26490182299599e-273,,2.1322942
Gm14850,1.5905883,,,7.528977258328365e-252,2.646134347212087e-248,,1.5905883
AY761184,1.6574343,,,2.212229121718021e-245,6.479250392658465e-242,,1.6574343
Defa24,1.318787,,,5.397591438423467e-209,1.3550267763916513e-205,,1.318787
Defa20,1.0391413,,,2.171381669371851e-163,4.769711259483942e-160,,1.0391413
Defa17,1.2854793,,,1.5167618564038894e-154,2.9615617891761717e-151,,1.2854793
Gm7861,1.7082461,,,7.016873670726565e-122,1.2330752101567794e-118,,1.7082461
Defa22,1.114873,,,1.274777027320331e-110,2.0365142455545617e-107,,1.114873
Fabp2,0.4714845,,,4.5098284795498644e-101,6.604267989260815e-98,,0.4714845
Defa21,1.0182353,,,4.074315117837874e-90,5.1141385404117835e-87,,1.0182353
Hmgcs2,1.7072089,,,6.297561514071546e-85,7.377803232451951e-82,,1.7072089
Gm15308,0.9575739,,,2.9419104304299526e-80,3.0410701172909153e-77,,0.9575739
Hsp90aa1,0.80671996,,,1.2881523850985411e-79,1.1914053612282454e-76,,0.80671996
Clps,1.1435083,,,7.209073429743672e-70,5.067401895235422e-67,,1.1435083
Dnaja1,0.7254593,,,8.970133871323885e-59,4.9260050787742075e-56,,0.7254593
Tm4sf4,0.74795604,,,2.0774004168485436e-55,1.0140599312577626e-52,,0.74795604
Ldha,0.38220775,,,6.71726931219946e-55,3.190339827656246e-52,,0.38220775
Ly6e,0.58645684,,,2.808724358242744e-53,1.2339428286849935e-50,,0.58645684
Itln1,0.75844467,,,4.302780619067588e-53,1.844213751679871e-50,,0.75844467
Fcgbp,0.5257162,,,4.250910771798204e-52,1.778601309352615e-49,,0.5257162
Ctsh,0.6996372,,,5.3323020095183914e-51,2.1791754235643418e-48,,0.6996372
Ubb,0.24754399,,,2.1743502840450375e-47,8.306490769896402e-45,,0.24754399
Tubb2b,1.0756661,,,1.1694703915172952e-44,4.281479831277798e-42,,1.0756661
Reg4,1.0707996,,,1.6064436282916005e-44,5.761231404075162e-42,,1.0707996
Ppa1,0.40625542,,,1.583184624099364e-39,4.7154751524234115e-37,,0.40625542
Hsph1,1.1222267,,,9.271238253208863e-38,2.4685374215702933e-35,,1.1222267
Mllt3,0.56019896,,,3.954067127631904e-37,1.0218356122628744e-34,,0.56019896
Sri,0.29941958,,,6.6859703542403615e-37,1.7027906816676213e-34,,0.29941958
Hspa5,0.38570836,,,2.7136970320659265e-36,6.812542563499217e-34,,0.38570836
Etfb,0.34752297,,,4.2322762213698e-36,1.0475181695511479e-33,,0.34752297
Slc35b1,0.4575446,,,5.0597657636179355e-36,1.2349342189452496e-33,,0.4575446
Rep15,0.54215294,,,1.116424026683409e-35,2.6512053271496684e-33,,0.54215294
Tm4sf5,0.48982632,,,1.2195343837527019e-34,2.7475484263700296e-32,,0.48982632
Tmem205,0.54799175,,,1.5169573635997384e-34,3.374366044371925e-32,,0.54799175
Hsp90b1,0.3426633,,,2.813707153933753e-34,6.029911684887542e-32,,0.3426633
Chchd2,0.13573584,,,4.230364750487122e-34,8.850023780989308e-32,,0.13573584
Defa-rs1,1.6629356,,,6.1129782844847175e-34,1.2638043222735287e-31,,1.6629356
